Time resolution is 1 ps
   Cycle  Start  Reset     Busy |        State | AXIS_v AXIS_r AXIS_last | WL_rdy WL_strt  WL_addr WL_head WL_tile |  CmpStrt   CmpRdy  CmpDone  CmpOp
175           -      1        1 |        S_FFN |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
176           -      1        1 |        S_FFN |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
177           -      1        1 |        S_FFN |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
178           -      1        1 |        S_FFN |      -      -        - |      1      -     NONE      0      0 |        -        -        1      0
179           -      1        1 |        S_FFN |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
180           -      1        1 |        S_FFN |      -      -        - |      1      -     NONE      0      0 |        1        1        - 15    
181           -      1        1 |        S_FFN |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
182           -      1        1 |        S_FFN |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
183           -      1        1 |        S_FFN |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
184           -      1        1 |  S_RES_ADD_2 |      -      -        - |      1      -     NONE      0      0 |        -        -        1      0
185           -      1        1 |  S_RES_ADD_2 |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
186           -      1        1 |  S_RES_ADD_2 |      -      -        - |      1      -     NONE      0      0 |        1        1        - 16    
187           -      1        1 |  S_RES_ADD_2 |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
188           -      1        1 |  S_RES_ADD_2 |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
189           -      1        1 |  S_RES_ADD_2 |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
190           -      1        1 |       S_LN_2 |      -      -        - |      1      -     NONE      0      0 |        -        -        1      0
191           -      1        1 |       S_LN_2 |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
192           -      1        1 |       S_LN_2 |      -      -        - |      1      -     NONE      0      0 |        1        1        - 17    
193           -      1        1 |       S_LN_2 |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
194           -      1        1 |       S_LN_2 |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
195           -      1        1 |       S_LN_2 |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
196           -      1        1 | S_LOOP_CHECK |      -      -        - |      1      -     NONE      0      0 |        -        -        1      0
197           -      1        1 | S_STREAM_OUT |      -      -        - |      1      -     NONE      0      0 |        -        -        -      0
198           -      1        1 | S_STREAM_OUT |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
199           -      1        1 | S_STREAM_OUT |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
200           -      1        1 |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
201           -      1        - |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
202           -      1        - |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
203           -      1        - |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
204           -      1        - |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
205           -      1        - |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0
206           -      1        - |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -      0

PASS: DONE observed and FSM returned to IDLE after 5 post-done cycles. Layer=1
$finish called at time : 2095 ns
