WARNING: [vitis-run 60-2507] Dispatch failed to load the system diagram library librdi_system_diagram. Diagrams will not be produced.
  **** HLS Build v2025.1 6135595
INFO: [HLS 200-2005] Using work_dir /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls 
INFO: [HLS 200-2176] Writing Vitis IDE component file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls/vitis-comp.json
INFO: [HLS 200-10] Creating and opening component '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls'.
INFO: [HLS 200-1505] Using default flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2025.1%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-2174] Applying component config ini file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.hpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(8)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.hpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(9)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.hpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(10)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.hpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.cpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(11)
INFO: [HLS 200-10] Adding design file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.cpp' to the project
INFO: [HLS 200-1465] Applying config ini 'tb.file=/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_tb.cpp' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(12)
INFO: [HLS 200-10] Adding test bench file '/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_tb.cpp' to the project
INFO: [HLS 200-1465] Applying config ini 'syn.top=scheduler_hls' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(7)
INFO: [HLS 200-1465] Applying config ini 'flow_target=vivado' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(4)
INFO: [HLS 200-1505] Using flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2025.1%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying config ini 'part=xck26-sfvc784-2LV-c' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(1)
INFO: [HLS 200-1611] Setting target device to 'xck26-sfvc784-2LV-c'
INFO: [HLS 200-1465] Applying config ini 'clock=10ns' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(13)
INFO: [SYN 201-201] Setting up clock 'default' with a period of 10ns.
INFO: [HLS 200-1465] Applying config ini 'package.output.format=ip_catalog' from /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/hls_config.cfg(5)
INFO: [HLS 200-2176] Writing Vitis IDE component file /home/luka/Scripting/ELEC_498-Capstone-LiteLM/vitis_simulations/Scheduler_FSM/Scheduler_FSM_total/Scheduler_FSM_Including_heads/scheduler_hls/vitis-comp.json
INFO: [SIM 211-2] *************** CSIM start ***************
INFO: [SIM 211-4] CSIM will launch CLANG as the compiler.
INFO: [HLS 200-2036] Building debug C Simulation binaries
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp in debug mode
   Generating csim.exe
Cycle    Start  Reset  Busy     | State            AXIS_v     AXIS_r     AXIS_last  | WL_ready WL_start WL_addr  WL_head  WL_tile  | CmpStart   CmpReady   CmpDone    CmpOp
169      0      1      1        | S_OUT_PROJ       -          -          -          | 1        1        WO       -1       3        | -          1          -          -
170      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
171      0      1      1        | S_OUT_PROJ       -          -          -          | -        -        -        0        0        | -          1          -          -
172      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          1          -          -
173      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | 1          1          -          OUT_PROJ
174      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
175      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          -          -
176      0      1      1        | S_OUT_PROJ       -          -          -          | 1        -        -        0        0        | -          -          1          -
177      0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          1          -          -
178      0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | 1          1          -          RESID0
179      0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          -          -          -
180      0      1      1        | S_RES_ADD_1      -          -          -          | 1        -        -        0        0        | -          -          -          -
181      0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          1          -
182      0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | 1          1          -          LN0
183      0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          -          -
184      0      1      1        | S_LN_1           -          -          -          | 1        -        -        0        0        | -          -          -          -
185      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
186      0      1      1        | S_FFN            -          -          -          | 1        1        W1       -1       0        | -          1          -          -
187      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
188      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
189      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
190      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W1
191      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
192      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
193      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
194      0      1      1        | S_FFN            -          -          -          | 1        1        W1       -1       1        | -          1          -          -
195      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
196      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
197      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
198      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W1
199      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
200      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
201      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
202      0      1      1        | S_FFN            -          -          -          | 1        1        W1       -1       2        | -          1          -          -
203      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
204      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
205      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
206      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W1
207      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
208      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
209      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
210      0      1      1        | S_FFN            -          -          -          | 1        1        W1       -1       3        | -          1          -          -
211      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
212      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
213      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
214      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W1
215      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
216      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
217      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
218      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
219      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_ACT
220      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
221      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
222      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
223      0      1      1        | S_FFN            -          -          -          | 1        1        W2       -1       0        | -          1          -          -
224      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
225      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
226      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
227      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W2
228      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
229      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
230      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
231      0      1      1        | S_FFN            -          -          -          | 1        1        W2       -1       1        | -          1          -          -
232      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
233      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
234      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
235      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W2
236      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
237      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
238      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
239      0      1      1        | S_FFN            -          -          -          | 1        1        W2       -1       2        | -          1          -          -
240      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
241      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
242      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
243      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W2
244      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
245      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
246      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
247      0      1      1        | S_FFN            -          -          -          | 1        1        W2       -1       3        | -          1          -          -
248      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
249      0      1      1        | S_FFN            -          -          -          | -        -        -        0        0        | -          1          -          -
250      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          1          -          -
251      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | 1          1          -          FFN_W2
252      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
253      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          -          -
254      0      1      1        | S_FFN            -          -          -          | 1        -        -        0        0        | -          -          1          -
255      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          1          -          -
256      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | 1          1          -          RESID1
257      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          -          -          -
258      0      1      1        | S_RES_ADD_2      -          -          -          | 1        -        -        0        0        | -          -          -          -
259      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          1          -
260      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | 1          1          -          LN1
261      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          -          -
262      0      1      1        | S_LN_2           -          -          -          | 1        -        -        0        0        | -          -          -          -
263      0      1      1        | S_LOOP_CHECK     -          -          -          | 1        -        -        0        0        | -          -          1          -
264      0      1      1        | S_STREAM_OUT     -          -          -          | 1        -        -        0        0        | -          1          -          -
265      0      1      1        | S_STREAM_OUT     -          -          -          | 1        -        -        0        0        | -          1          -          -
266      0      1      1        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
267      0      1      -        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
268      0      1      -        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
269      0      1      -        | S_IDLE           -          -          -          | 1        -        -        0        0        | -          1          -          -
PASS: DONE observed and FSM returned to IDLE after 4 post-done cycles. Layer=1
INFO: [SIM 211-1] CSim done with 0 errors.
INFO: [SIM 211-3] *************** CSIM finish ***************
INFO: [HLS 200-112] Total CPU user time: 2.37 seconds. Total CPU system time: 0.77 seconds. Total elapsed time: 3.11 seconds; peak allocated memory: 445.113 MB.
INFO: [vitis-run 60-791] Total elapsed time: 0h 0m 6s
